Tier,Route,RouteName,Company,WhatTheyDo,Street,Town,State,ZIP,Phone,ITContact,OwnerExec,DoorOpener,AcctStatus,EmpEst,RevenueUSD,Founded,ParentOwnership,Website,Notes,ZoomInfoID,ZoomInfoDirectDial,ZoomInfoNote,ContactEmail
C,H2,H2 West Hanover industrial,Hingham Moving Services,Moving and storage company,285 Circuit St,Hanover,MA,02339,(617) 319-7027,,,"Scheduling, dispatch and customer data. Lead with simple reliable IT and phones.",Prospect,72,3145000,1982,,hinghammoving.com,,405942027,,,
C,H2,H2 West Hanover industrial,Burgopak USA,"Packaging design firm, US office","24 Rockland St, Ste 5",Hanover,MA,02339,+44 20 7089 1950,,,Small US office of a UK firm. Lead with being their local IT presence.,Prospect,30,8271000,,Burgopak (UK),burgopak.com,Verify before visiting. Phone routes to UK.,11619277,,,
A,P1,P1 Pembroke corporate parks,Royal Health Group,"Family owned nursing home group, HQ",42 Winter St,Pembroke,MA,02359,(781) 826-2393,"Jimmy Noel (Manager, Information Technology)",Pamela Jones (Chief Financial Officer),"12 facilities of EHR, nurse call and HIPAA. Lead with multi site support and security.",Prospect,755,34941000,1998,,royalhealthgroup.com,HQ decides for all facilities. Employee count spans the group.,44024049,(781) 924-3167,"ZoomInfo confirmed direct dial (781) 924-3167 for Jimmy Noel, callable.",jnoel@royalhealthgroup.com
A,P1,P1 Pembroke corporate parks,FMC Ice Sports,"Ice rink management company, HQ","100 Schoosett St, Bldg 3",Pembroke,MA,02359,(888) 747-5283,,,"25 rinks on POS, scheduling and payment systems. Lead with multi site support and uptime.",Prospect,226,54426000,1992,,fmcicesports.com,HQ office decides for all sites. Strong multi site play.,40865749,,No named IT or executive contact on file to enrich. ZoomInfo pass not run; use company main line and ask who runs IT.,
A,P1,P1 Pembroke corporate parks,Thayer Scale,"Industrial weighing and feeding equipment, HQ",91 Schoosett St,Pembroke,MA,02359,(855) 784-2937,Chris Geer (Information Technology Consultant),Frank Hyer (Chairman & Chief Executive Officer),"Engineering IP and global customers. Lead with security, backup and shop floor uptime.",Prospect,82,23837000,1949,,thayerscale.com,Classic ICP manufacturer.,38076611,(781) 341-2222,"ZoomInfo confirmed direct dial (781) 341-2222 for Chris Geer, callable.",cgeer@thayerscale.com
A,P1,P1 Pembroke corporate parks,Nelco Products,"Cable ties and wire management, distribution HQ",22 Riverside Dr,Pembroke,MA,02359,(800) 346-3526,"Patrick Wong (Director, Information Technology & Materials)",Miriam Nelson (Owner),"E-commerce and warehouse ops. Lead with uptime, EDI reliability and security.",Prospect,81,37741000,1984,,nelcoproducts.com,,71779517,,"ZoomInfo returned an email on the flextronics.com domain for Patrick Wong (no phone). VERIFY: he may have moved to Flextronics/Flex, or Nelco may now sit under that parent. Confirm before outreach.",
B,P1,P1 Pembroke corporate parks,New England Village,Nonprofit for adults with disabilities,664 School St,Pembroke,MA,02359,(781) 293-5461,"Tim McKinney (Manager, Information Technology)",Christine Chagnon (President & Chief Executive Officer),Resident records and lean budgets. Lead with right sized managed IT and HIPAA.,Prospect,166,5359000,1972,,newenglandvillage.org,,27394913,,,
B,P1,P1 Pembroke corporate parks,Preferred Mechanical Services,Mechanical contractor,223 Center St,Pembroke,MA,02359,(781) 293-1200,,Jennifer Meade (Founder),Field techs and service contracts. Lead with dependable help desk and dispatch uptime.,Prospect,77,3960000,1992,,preferredmechanicalservices.com,,345994045,,,
B,P1,P1 Pembroke corporate parks,Your Electrical Solution,Electrical contractor,345 Washington St,Pembroke,MA,02359,(781) 331-3500,Peter Ockerbloom (Telecom Systems Technician),Bruce Sylvester (Owner),Growing contractor. Lead with email fraud protection and field device support.,Prospect,76,23819000,1996,,yourelectricalsolutions.com,,450765740,,,
B,P1,P1 Pembroke corporate parks,Revenue Solutions (RSI),Government tax software company,"42 Winter St, Ste 36",Pembroke,MA,02359,(781) 826-1546,"Jonathan Epstein (Director, Information Technology)",Blake Ramsey (President),Software firm with government clients and audits. Lead with co-managed security and helpdesk.,Prospect,61,4335000,1996,,rsidelivers.com,Same complex as Royal Health Group. Pair the stops.,122601758,,,
B,P1,P1 Pembroke corporate parks,Acella Construction,Commercial general contractor,38 Washington St,Pembroke,MA,02359,(781) 681-9240,,Saul Schrader (President),50M GC with project data everywhere. Lead with email fraud protection and Procore uptime.,Prospect,42,52519000,2003,,acellaconstruction.com,Builds for healthcare and schools locally. Referral rich.,722847,,,
B,P1,P1 Pembroke corporate parks,Ritchie Navigation,Marine compass manufacturer since 1850,243 Oak St,Pembroke,MA,02359,(781) 826-5131,,Jonathan Sherman (President),Storied manufacturer. Lead with modern security wrapped around legacy systems.,Prospect,41,8845000,1850,,ritchienavigation.com,America's oldest compass maker. Great conversation starter.,87149342,,,
B,P1,P1 Pembroke corporate parks,Protectowire FireSystems,"Linear heat detection manufacturer, HQ",60 Washington St,Pembroke,MA,02359,(781) 826-3878,Michael Hall (System Engineer),Gerald Holmes (Founder),Global OEM with engineering IP. Lead with security and dependable office IT.,Prospect,31,18925000,1938,,protectowire.com,,64980067,,,
B,P1,P1 Pembroke corporate parks,FCI Ophthalmics,"Ophthalmic surgical devices, US office","30 Corporate Park Dr, Ste 310",Pembroke,MA,02359,(800) 932-4202,,,FDA regulated device distribution. Lead with compliance ready IT for a lean office.,Prospect,22,3532000,1984,FCI (France),fci-ophthalmics.com,,14041218,,,
C,P1,P1 Pembroke corporate parks,Entegee / The Engineering Department,"Engineering staffing, national HQ (Adecco Group)",33 Riverside Dr,Pembroke,MA,02359,(877) 606-8765,,,Adecco corporate IT covers them. Networking value with branch leadership only.,Prospect,346,239291000,1978,Adecco Group,entegee.com,The Engineering Department brand shares this building.,38800308,,,
C,P1,P1 Pembroke corporate parks,Horner Millwork,"Millwork and building products, Pembroke branch","55 Corporate Park Dr, Ste 1",Pembroke,MA,02359,(781) 826-7770,,,Branch of Somerset HQ company. Local relationship can open the corporate door.,Prospect,165,16673000,2001,North Atlantic Corp,hornermillwork.com,IT likely decided at North Atlantic Corp.,31983788,,,
C,P1,P1 Pembroke corporate parks,Markings Inc,Pavement marking contractor,30 Riverside Dr,Pembroke,MA,02359,(781) 826-5171,,Monique Souza (Owner),Seasonal field crews and bids. Lead with simple managed IT and email security.,Prospect,42,10558000,1967,,markingsinc.com,,354855362,,,
C,P1,P1 Pembroke corporate parks,Peak Mechanical Services,Commercial HVAC and plumbing contractor,"35 Corporate Park Dr, Ste 2",Pembroke,MA,02359,(781) 924-5982,,Mario DiMartino (President),Dispatch and service software. Lead with help desk for field techs.,Prospect,38,16640000,2007,,peakmechanicalservices.com,,357482820,,,
C,P1,P1 Pembroke corporate parks,Charm Medical Supply,Home medical supplies (DME),"33 Riverside Dr, Ste 200",Pembroke,MA,02359,(781) 829-9813,,Wayne Saville (Chief Financial Officer),Medicaid billing and PHI. Lead with HIPAA and dependable order systems.,Prospect,25,4422000,2000,,charmmedical.com,Same building as Entegee.,12354801,,,
C,P1,P1 Pembroke corporate parks,Cadete Enterprises,Multi unit Dunkin' franchisee office,12 Riverside Dr,Pembroke,MA,02359,(781) 829-1156,,Eric Eskander (Chief Executive Officer),Dozens of stores on POS and payroll systems. Lead with store uptime and PCI basics.,Prospect,25,4932000,2000,,cadeteenterprises.com,Office staff small. Store count is the real footprint.,379382675,,,
C,P1,P1 Pembroke corporate parks,JLC Tech,Architectural LED lighting manufacturer,370 Corporate Park Dr,Pembroke,MA,02359,(781) 826-8162,,Mia Antonia (Principal Partner - Chief Financial Officer),Design files and order systems. Lead with backup and M365 security.,Prospect,21,4064000,2010,,jlc-tech.com,,355384049,,,
A,W1,W1 Whitman/Abington/Hanson,T&K Asphalt Services,"Commercial paving contractor, HQ",7 Industrial Way,Whitman,MA,02382,(781) 826-3138,,Peter Cleary (Chief Financial Officer),80M contractor and a top wire fraud target. Lead with email security and estimating uptime.,Prospect,125,79566000,1987,,tkasphalt.com,One of the largest paving firms in New England.,184991889,(781) 523-3213,"ZoomInfo confirmed direct dial (781) 523-3213 for Peter Cleary, callable.",pcleary@tkasphalt.com
A,W1,W1 Whitman/Abington/Hanson,Cape Cod Lumber,Independent lumber yard and building products,225 Groveland St,Abington,MA,02351,(781) 878-0715,,Thomas McManus (President),"POS, inventory and delivery ops on one system. Lead with uptime and ransomware defense.",Prospect,98,27457000,1958,,capecodlumber.com,Family owned. Decision makers on site.,20517658,,ZoomInfo: mobile (508) 847-4666 for Thomas McManus is flagged Do Not Call. No alternate number found; use company main line.,tmcmanus@cclco.com
B,W1,W1 Whitman/Abington/Hanson,Southeastern ABA,ABA therapy provider,116 Helen Dr,Hanson,MA,02341,(781) 924-1408,,,"Fast growing therapy group. Lead with HIPAA, MDM and clinician onboarding speed.",Prospect,153,30140000,2014,,southeasternaba.com,,481093210,,,
B,W1,W1 Whitman/Abington/Hanson,Sullivan's Inc,Powersports accessories wholesale distributor,121 Franklin St,Hanson,MA,02341,(781) 293-9711,,Bobby Sullivan (Owner and Operator),National distribution on EDI and warehouse systems. Lead with uptime and security.,Prospect,141,11685000,,,sullivansusa.com,Family owned since 1948 era roots. Verified via web.,371652590,,,
B,W1,W1 Whitman/Abington/Hanson,Seoane Landscape Design,Commercial landscape design and construction,551 Bedford St,Abington,MA,02351,(781) 878-1306,,"Louis Seoane (President, Operations & Sales)","Crews, scheduling and billing. Lead with simple managed IT that keeps trucks rolling.",Prospect,108,22537000,1972,,seoanelandscape.com,,55133071,,,
B,W1,W1 Whitman/Abington/Hanson,Whitman Company,Metal finishing and plating,356 South Ave,Whitman,MA,02382,(781) 447-2422,,William Whitman (President),Plating lines and quality certs. Lead with production uptime and simple secure IT.,Prospect,100,17480000,1894,,whitman-company.com,Address confirmed via web. ZoomInfo listing was incomplete.,128385304,,,
B,W1,W1 Whitman/Abington/Hanson,Defense Investigators Group,Insurance defense investigations,PO Box 119 (call ahead),Hanson,MA,02341,(800) 233-0417,,Don Anderson (Owner),Sensitive case files and field investigators. Lead with security and secure remote access.,Prospect,91,16655000,1990,,defenseinvestigatorsgroup.com,Street address not published. Call before attempting a visit.,,,,
B,W1,W1 Whitman/Abington/Hanson,Walsh Mechanical Contractors,Mechanical contractor since 1918,380 North Ave,Abington,MA,02351,(781) 871-7496,,,Century old contractor. Lead with email fraud protection and dependable office IT.,Prospect,70,25018000,1918,,walshmechanical.com,,74531004,,,
B,W1,W1 Whitman/Abington/Hanson,Webster Printing,Commercial printing,1069 W Washington St,Hanson,MA,02341,(781) 447-5484,,Ernest Foster (President & Chief Executive Officer),Prepress files and tight deadlines. Lead with backup and workstation reliability.,Prospect,50,6726000,1956,,websterprinting.com,,353908367,,,
B,W1,W1 Whitman/Abington/Hanson,Whitman Tool & Die,Metal stamping and tooling,72 Raynor Ave,Whitman,MA,02382,(781) 447-0421,,Peter Werthen (Buyer & Owner),Job shop with CAD and CNC systems. Ask about CMMC if they touch defense work.,Prospect,30,8569000,1951,,whitmantoolanddie.com,,36425109,,,
B,W1,W1 Whitman/Abington/Hanson,President Titanium,Titanium bar and alloy stock distributor,243 Franklin St,Hanson,MA,02341,(781) 294-0000,,Shawn MacLeod (President),Aerospace customers mean traceability. Ask about CMMC and quality system uptime.,Prospect,23,4509000,1973,,presidenttitanium.com,Near Sullivan's on Franklin St. Pair the stops.,85656175,,,
C,W1,W1 Whitman/Abington/Hanson,Clean Systems of America,Commercial cleaning company,"162 Industrial Blvd, Ste 4",Hanson,MA,02341,(781) 447-5885,,Robert Melchionno (President),"Big field workforce, small office. Lead with simple managed IT and payroll system uptime.",Prospect,249,13695000,1998,,clean-systems.com,Employee count is mostly field cleaning staff.,11289715,,,
C,W1,W1 Whitman/Abington/Hanson,Angels Healthcare Companies,Home health services,536 Washington St,Abington,MA,02351,(781) 871-3773,,Mazen Eneyni (President),PHI on caregiver devices. Lead with HIPAA basics and affordable managed IT.,Prospect,32,3364000,,,angelshealthcare.com,,346784932,,,
A,S1,S1 Weymouth/Hingham/3A coast,South Shore Bank,"Community bank, main office",1530 Main St,Weymouth,MA,02190,(800) 419-1700,Lynn Tempesta (Vice President and Information Technology Operations Ma...),James Dunphy (President & Chief Executive Officer),"Exam and vendor management pressure with lean internal IT. Lead with vCISO, compliance alignment and MDR.",Prospect,221,110640000,1889,Merging with Dedham Savings,southshorebank.com,Merger integration is an IT trigger. Bank flagged as Dedham Savings affiliate.,35750110,,"ZoomInfo weak match (company only, no personal data confirmed) for Lynn Tempesta this pass. Prior intel stands: desk line (781) 682-3269, mobile is Do Not Call.",ltempesta@southshorebank.com
A,S1,S1 Weymouth/Hingham/3A coast,Electroswitch,"Switch and relay manufacturer (utility, defense)",180 King Ave,Weymouth,MA,02188,(781) 335-5200,"Karen Roche (Manager, Corporate Information Systems)",,Production uptime and ransomware risk with a small office team. Lead with co-managed IT.,Prospect,131,21726000,1946,,electroswitch.com,Defense customers mean a CMMC door opener.,12681815,(781) 607-3366,"ZoomInfo confirmed direct dial (781) 607-3366 for Karen Roche, callable. Mobile on file is Do Not Call.",kroche@electroswitch.com
A,S1,S1 Weymouth/Hingham/3A coast,Coastal Heritage Bank,Community bank,195 Washington St,Weymouth,MA,02188,(781) 796-6050,"Margaret Ruuska (Vice President, Information Technology & Officer)",Richard Rowe (Director Chief Executive Officer),"Exam and vendor management pressure with lean internal IT. Lead with vCISO, compliance alignment and MDR.",Prospect,112,46466000,1928,MountainOne Bank,coastalheritagebank.com,Listed as merged into MountainOne. Verify branding before visiting.,375237867,(781) 682-4438,"ZoomInfo confirmed direct dial (781) 682-4438 and mobile (781) 796-6009 for Margaret Ruuska, both callable.",mruuska@coastalheritagebank.com
A,S1,S1 Weymouth/Hingham/3A coast,Healthcare South,Primary care practice group,223 Chief Justice Cushing Hwy Ste 101,Cohasset,MA,02025,(781) 383-6800,"Phillip Joy (Director, Information Technology Operations & Infrastru...)",,PHI and EHR uptime on a lean team. Lead with a HIPAA security risk assessment.,Prospect,98,5053000,1991,,healthcaresouth.com,Multi practice group. HIPAA and EHR uptime.,54415058,(781) 803-2786 ext. 223,"ZoomInfo confirmed direct dial (781) 803-2786 ext. 223 for Phillip Joy, callable. Mobile on file is Do Not Call.",pjoy@healthcaresouth.com
A,S1,S1 Weymouth/Hingham/3A coast,Massa Products,Sonar and ultrasonic transducer manufacturer,280 Lincoln St,Hingham,MA,02043,(781) 749-4800,James Hall (Senior Software Systems Engineer & Director & Electrica...),Donald Massa (Chief Technical Officer & Chairman),Production uptime and ransomware risk with a small office team. Lead with co-managed IT.,Prospect,94,19426000,1945,,massa.com,Defense supplier. Ask about CMMC prep.,46614387,,ZoomInfo matched James Hall but returned no phone or mobile. No personal number found; use company main line.,jgh@massa.com
A,S1,S1 Weymouth/Hingham/3A coast,Hingham Institution for Savings,"Independent bank, HQ",55 Main St,Hingham,MA,02043,(781) 783-1798,"Daniel Bagley (Vice President, Chief Information Officer)",Patrick Gaughen (President & Chief Operating Officer),"Exam and vendor management pressure with lean internal IT. Lead with vCISO, compliance alignment and MDR.",Prospect,92,54947000,1834,,hinghamsavings.com,,31361066,,ZoomInfo: mobile (617) 240-5885 for Daniel Bagley is flagged Do Not Call. No alternate number found; use company main line.,danielbagley@hinghamsavings.com
A,S1,S1 Weymouth/Hingham/3A coast,Hingham Lumber,Independent lumber yard,165 Chief Justice Cushing Hwy,Cohasset,MA,02025,(781) 749-4200,,William McNulty (Founder),Real office and operations inside the drive zone. Lead with dependable IT and security basics.,Prospect,90,19898000,1947,,hinghamlumber.com,Family owned. Same 3A run as Healthcare South.,31361067,,ZoomInfo matched William McNulty but returned no phone or mobile. No personal number found; use company main line.,
A,S1,S1 Weymouth/Hingham/3A coast,Dynavac,Vacuum chamber systems manufacturer,110 Industrial Park Rd,Hingham,MA,02043,(781) 740-8600,,Joel Smolka (Vice President and General Manager),Production uptime and ransomware risk with a small office team. Lead with co-managed IT.,Prospect,81,22657000,1982,Schunk GmbH,dynavac.com,"German parent, locally run plant.",25103548,,ZoomInfo: mobile (339) 788-0470 for Joel Smolka is flagged Do Not Call. No alternate number found; use company main line.,
A,S1,S1 Weymouth/Hingham/3A coast,South Shore Orthopedics,Orthopedic practice,2 Pond Park Rd Ste 102,Hingham,MA,02043,(781) 337-5555,,,PHI and EHR uptime on a lean team. Lead with a HIPAA security risk assessment.,Prospect,76,3176000,2008,,southshoreorthopedics.com,,73893756,,No named IT or executive contact on file to enrich. ZoomInfo pass not run; use company main line and ask who runs IT.,
A,S1,S1 Weymouth/Hingham/3A coast,AJA International,Thin film deposition systems manufacturer,809 Country Way,Scituate,MA,02066,(781) 545-7365,Lin Sandar (System Engineer),William Hale (Founder),Production uptime and ransomware risk with a small office team. Lead with co-managed IT.,Prospect,63,17109000,1989,,ajaint.com,World class instrument maker in your home town.,2379476,,ZoomInfo matched Lin Sandar but returned no phone or mobile. No personal number found; use company main line.,
B,S1,S1 Weymouth/Hingham/3A coast,Edward G. Sawyer Co.,Electrical contractor since 1864,260 Libbey Industrial Pkwy,Weymouth,MA,02189,(781) 340-1400,"Bryce Bailey (Director, Information Technology)",Tyrone Sandefur (General Manager),Contractors are prime wire fraud targets. Lead with email security and estimating uptime.,Prospect,250,159131000,1864,,egsawyer.com,Libbey Industrial Pkwy anchor stop.,31693971,,,
B,S1,S1 Weymouth/Hingham/3A coast,Harold Brothers Mechanical,Mechanical contractor,44 Woodrock Rd Ste 1,Weymouth,MA,02189,(781) 871-2111,Briyanna Arklein (IT Specialist),John Harold (President),Contractors are prime wire fraud targets. Lead with email security and estimating uptime.,Prospect,219,123485000,2008,,haroldbros.com,,347288554,,,
B,S1,S1 Weymouth/Hingham/3A coast,Harbor Clinical,Clinical trial services (CRO),94 Otis St,Hingham,MA,02043,(781) 775-0342,,Ann Conner (President),PHI and EHR uptime on a lean team. Lead with a HIPAA security risk assessment.,Prospect,200,29361000,2017,,harborclinical.com,"Life sciences services. Compliance heavy, lean IT.",435710361,,,
B,S1,S1 Weymouth/Hingham/3A coast,Wellness Workdays,Corporate wellness programs,21 Fottler Rd,Hingham,MA,02043,(781) 741-5483,,Debra Wein (Chief Executive Officer & Founder),Real office and operations inside the drive zone. Lead with dependable IT and security basics.,Prospect,159,7368000,2008,,wellnessworkdays.com,,352540974,,,
B,S1,S1 Weymouth/Hingham/3A coast,O2X Human Performance,Human performance training for first responders,1 Mill Wharf Plz Ste S12,Scituate,MA,02066,(781) 902-0304,Tait Hoglund (Senior Infrastructure Engineer),Paul McCullough (President & Co-Founder),Real office and operations inside the drive zone. Lead with dependable IT and security basics.,Prospect,136,28742000,2014,,o2x.com,Scituate Harbor office. Veteran founded.,363727526,,,
B,S1,S1 Weymouth/Hingham/3A coast,Queen Anne's Nursing Home,Skilled nursing facility,50 Recreation Park Dr,Hingham,MA,02043,(781) 749-4982,,,PHI and EHR uptime on a lean team. Lead with a HIPAA security risk assessment.,Prospect,111,7318000,1986,,queenannenh.com,,353854486,,,
B,S1,S1 Weymouth/Hingham/3A coast,McDonald Electric,Electrical contractor,72 Sharp St Ste C8,Hingham,MA,02043,(781) 340-0008,,Steven Buccigross (Chief Operating Officer),Contractors are prime wire fraud targets. Lead with email security and estimating uptime.,Prospect,96,18414000,1990,,mcdonaldcorp.com,,363797900,,,
B,S1,S1 Weymouth/Hingham/3A coast,New England Hospice,Hospice care,190 Old Derby St Ste 304,Hingham,MA,02043,(781) 749-2900,,Gregg Estey (Owner and Administrator),PHI and EHR uptime on a lean team. Lead with a HIPAA security risk assessment.,Prospect,87,12715000,2002,,newenglandhospice.com,,345317503,,,
B,S1,S1 Weymouth/Hingham/3A coast,Hennigan Engineering,Industrial cleaning and outage services,55 Industrial Park Rd,Hingham,MA,02043,(781) 749-0220,,,Real office and operations inside the drive zone. Lead with dependable IT and security basics.,Prospect,85,2931000,1967,Conco Services,henniganengineering.com,Same street as Dynavac. Pair the stops.,44254533,,,
B,S1,S1 Weymouth/Hingham/3A coast,Hart Supply,Industrial supply distributor,50 Pond Park Rd,Hingham,MA,02043,(800) 445-6607,,Raymond Hart (Owner),Branch and warehouse ops on one ERP. Lead with uptime and ransomware defense.,Prospect,80,16889000,1946,,hartsupply.com,Same street as South Shore Orthopedics.,53858535,,,
B,S1,S1 Weymouth/Hingham/3A coast,Boxerbrand,Menu cover and hospitality products manufacturer,293 Libbey Industrial Pkwy Ste 500,Weymouth,MA,02189,(617) 269-8244,,Luis Paniagua (Plant Manager),Production uptime and ransomware risk with a small office team. Lead with co-managed IT.,Prospect,74,19485000,,,boxerbrand.com,Same parkway as EG Sawyer.,12667248,,,
A,Q1,Q1 Quincy/Milton,Bay State Milling,"Flour and grain milling, HQ since 1899",100 Congress St Ste 2,Quincy,MA,02169,(800) 553-5687,"Phillip Murphy (Director, Information Technology & Development)",Alain Hanna (Chief Financial Officer),Production uptime and ransomware risk with a small office team. Lead with co-managed IT.,Prospect,340,143434000,1899,,baystatemilling.com,HQ office decides for plants nationwide.,8587966,,ZoomInfo: mobile (270) 222-0317 for Phillip Murphy is flagged Do Not Call. No alternate number found; use company main line.,pmurphy@bsm.com
A,Q1,Q1 Quincy/Milton,Manet Community Health Center,Community health center (FQHC),110 W Squantum St Ste 8,Quincy,MA,02171,(617) 376-3000,Kim Shaw (Chief Information Officer),Marc Conroy (Chief Financial Officer),PHI and EHR uptime on a lean team. Lead with a HIPAA security risk assessment.,Prospect,250,30780000,1979,,manetchc.org,"Was on your 2026 target list. Admin office visit, afternoons.",52348112,(503) 691-4139,ZoomInfo: direct line for Kim Shaw is flagged Do Not Call; mobile (503) 691-4139 is callable.,shawk@manetchc.org
A,Q1,Q1 Quincy/Milton,Quincy Mutual Group,"Mutual insurance carrier, HQ",57 Washington St,Quincy,MA,02169,(617) 770-5100,"Michael Andrade (Manager, Information Systems)",Thomas Harris (President & Chief Executive Officer),"Client PII and audits. Lead with security posture, compliance support and uptime.",Prospect,200,48074000,,,newenglandmutual.com,,57574629,(617) 472-8770,"ZoomInfo confirmed both direct (617) 472-8770 and mobile (617) 770-5127 for Michael Andrade, callable.",
A,Q1,Q1 Quincy/Milton,XS Brokers,"Wholesale insurance brokerage, HQ",13 Temple St Fl 1,Quincy,MA,02169,(617) 471-7171,Jason Brudnick (Chief Information Officer),Eric Wirkus (Chief Executive Officer),"Client PII and audits. Lead with security posture, compliance support and uptime.",Prospect,200,186922000,1978,,xsbrokers.com,,43008409,(617) 330-5702,"ZoomInfo confirmed direct dial (617) 330-5702 for Jason Brudnick, callable. Mobile on file is Do Not Call.",jbrudnick@xsbrokers.com
A,Q1,Q1 Quincy/Milton,Twin Rivers Technologies,Oleochemicals manufacturer,780 Washington St,Quincy,MA,02169,(617) 472-9200,"John Piasecki (Director, Information Technology)",Scott Chatlin (President & Chief Executive Officer),Production uptime and ransomware risk with a small office team. Lead with co-managed IT.,Prospect,113,24452000,1994,FGV Holdings (Malaysia),twinriverstechnologies.com,"Named IT director on file. Parent overseas, plant IT local.",39175210,(617) 845-1126,"ZoomInfo confirmed direct dial (617) 845-1126 for John Piasecki, callable. Mobile on file is Do Not Call.",
B,Q1,Q1 Quincy/Milton,MCMC,Medical claims review services,300 Crown Colony Dr Ste 203,Quincy,MA,02169,(800) 227-1464,Louis Pappa (Information Security Officer),Mario Corbiciero (President),"Client PII and audits. Lead with security posture, compliance support and uptime.",Prospect,481,36329000,1991,,mcmcllc.com,Crown Colony office park cluster.,36242667,,,
B,Q1,Q1 Quincy/Milton,Granite City Electric Supply,"Electrical distributor, HQ",19 Quincy Ave,Quincy,MA,02169,(617) 472-6500,Lawrence Levesque (Senior Business Systems Analyst),Phyllis Godwin (Chairman & Chief Executive Officer),Branch and warehouse ops on one ERP. Lead with uptime and ransomware defense.,Prospect,382,282931000,1923,,granitecityelectric.com,,45878157,,,
B,Q1,Q1 Quincy/Milton,Lee Kennedy Co.,Commercial general contractor,122 Quincy Shore Dr,Quincy,MA,02171,(617) 825-6930,"Mahmoud Yassine (Director, Management Information Systems)",Bob O'Leary (President),Contractors are prime wire fraud targets. Lead with email security and estimating uptime.,Prospect,344,100000000,1978,,leekennedy.com,,62097206,,,
B,Q1,Q1 Quincy/Milton,Bay State Community Services,Behavioral health and community services nonprofit,1120 Hancock St,Quincy,MA,02169,(617) 471-8400,,Daurice Cox (President & Chief Executive Officer),PHI and EHR uptime on a lean team. Lead with a HIPAA security risk assessment.,Prospect,336,17276000,1991,,baystatecs.org,,8587981,,,
B,Q1,Q1 Quincy/Milton,Best of Care,Home care agency,1250 Hancock St Ste 501S,Quincy,MA,02169,(617) 773-5800,,Tyla DiMaria (Owner and President),PHI and EHR uptime on a lean team. Lead with a HIPAA security risk assessment.,Prospect,317,29323000,1981,,bestofcareinc.com,1250 Hancock holds Magellan Jets too.,357382839,,,
B,Q1,Q1 Quincy/Milton,Housing Management Resources,Affordable housing property management,500 Victory Rd Ste 5,Quincy,MA,02171,(617) 471-0300,,Richard Pierce (Founder and President Emeritus),Real office and operations inside the drive zone. Lead with dependable IT and security basics.,Prospect,317,331994000,2001,,hmrproperties.com,Same building as Stran.,57150904,,,
B,Q1,Q1 Quincy/Milton,South Cove Manor,Skilled nursing and rehab,288 Washington St,Quincy,MA,02169,(617) 237-3618,,Bill Graves (President & Chief Executive Officer),PHI and EHR uptime on a lean team. Lead with a HIPAA security risk assessment.,Prospect,266,15421000,1985,,southcovemanor.org,,35718236,,,
B,Q1,Q1 Quincy/Milton,Dellbrook JKS,Commercial general contractor,859 Willard St,Quincy,MA,02169,(781) 380-1675,"Corren Collura (Director, Information Technology)",Jim Tracey (Co-President),Contractors are prime wire fraud targets. Lead with email security and estimating uptime.,Prospect,240,152766000,2005,,dellbrookjks.com,,61228486,,,
B,Q1,Q1 Quincy/Milton,Stran & Company,"Promotional products, public company HQ",500 Victory Rd Ste 301,Quincy,MA,02171,(800) 833-3309,Ian Wall (Chief Information Officer),,Real office and operations inside the drive zone. Lead with dependable IT and security basics.,Prospect,154,118746000,1994,,stran.com,Public company with a named CIO. Marina Bay office.,48595506,,,
B,Q1,Q1 Quincy/Milton,J. Calnan & Associates,Commercial construction manager,3 Batterymarch Park Fl 5,Quincy,MA,02169,(617) 801-0200,,Jay Calnan (Chief Executive Officer),Contractors are prime wire fraud targets. Lead with email security and estimating uptime.,Prospect,137,32565000,1996,,jcalnan.com,,57001788,,,
B,Q1,Q1 Quincy/Milton,Magellan Jets,Private jet membership company,1250 Hancock St Ste 802N,Quincy,MA,02169,(617) 507-6589,Michael Vinacco (IT Systems Administrator),Anthony Tivnan (President),Real office and operations inside the drive zone. Lead with dependable IT and security basics.,Prospect,110,35924000,2008,,magellanjets.com,,345603103,,,
B,Q1,Q1 Quincy/Milton,Environmental Partners Group,Civil and environmental engineering,1900 Crown Colony Dr Ste 402,Quincy,MA,02169,(617) 657-0200,,Robert W Custard (Chief Executive Officer),Real office and operations inside the drive zone. Lead with dependable IT and security basics.,Prospect,73,17076000,1997,,envpartners.com,Crown Colony cluster with MCMC and Arbella.,36457934,,,
C,Q1,Q1 Quincy/Milton,Arbella Insurance,"P&C insurance carrier, HQ",1100 Crown Colony Dr,Quincy,MA,02169,(617) 328-2800,"Matthew Postulka (Chief Information Officer & Vice President, Information...)",,"Client PII and audits. Lead with security posture, compliance support and uptime.",Prospect,1000,934607000,1988,,arbella.com,"98 person IT dept with a CIO. Networking and events, not walk-ins.",5360015,,,
C,Q1,Q1 Quincy/Milton,Shields Health Care Group,"MRI and imaging network, HQ",700 Congress St Ste 204,Quincy,MA,02169,(800) 258-4674,"Deborah Cafarella (Senior Director, Information Technology Security & Infr...)",Peter Ferrari (President),Real office and operations inside the drive zone. Lead with dependable IT and security basics.,Prospect,900,66686000,1991,,shields.com,Real internal IT exists. Co-managed or project pitch only.,67355316,,,
